timestamp,G1,G2,G3,G4,G5,G6,total,label
1970-01-01 00:11:14,0,0,0,0,0,1,1,LOW
1970-01-01 00:11:15,0,0,0,0,1,0,1,LOW
1970-01-01 00:11:16,0,0,0,1,0,0,1,LOW
1970-01-01 00:11:17,0,1,0,0,0,0,1,LOW
1970-01-01 00:11:18,0,0,1,0,0,0,1,LOW
1970-01-01 00:11:21,1,0,0,0,0,0,1,LOW
1970-01-01 00:11:26,0,0,0,0,1,0,1,LOW
1970-01-01 00:11:27,0,1,0,0,0,0,1,LOW
1970-01-01 00:11:28,0,0,1,0,0,0,1,LOW
1970-01-01 00:11:31,1,0,0,0,0,1,2,LOW
1970-01-01 00:11:36,0,0,0,0,1,0,1,LOW
1970-01-01 00:11:37,0,1,0,0,0,0,1,LOW
1970-01-01 00:11:38,0,0,1,0,0,0,1,LOW
1970-01-01 00:11:41,1,0,0,0,0,0,1,LOW
1970-01-01 00:11:43,0,0,0,1,0,0,1,LOW
1970-01-01 00:11:47,0,0,1,0,0,0,1,LOW
1970-01-01 00:11:48,0,1,0,0,0,0,1,LOW
1970-01-01 00:11:52,1,0,0,0,0,0,1,LOW
1970-01-01 00:11:54,0,0,0,0,1,0,1,LOW
1970-01-01 00:11:57,0,0,1,0,0,0,1,LOW
1970-01-01 00:11:58,0,1,0,1,0,1,3,MEDIUM
1970-01-01 00:12:01,1,0,0,0,0,0,1,LOW
1970-01-01 00:12:06,0,0,1,0,1,0,2,LOW
1970-01-01 00:12:07,0,0,0,0,0,1,1,LOW
1970-01-01 00:12:08,0,1,0,0,0,0,1,LOW
1970-01-01 00:12:10,1,0,0,0,0,0,1,LOW
1970-01-01 00:12:15,0,0,1,0,0,0,1,LOW
1970-01-01 00:12:18,0,1,0,0,0,1,2,LOW
1970-01-01 00:12:20,1,0,0,1,1,0,3,MEDIUM
1970-01-01 00:12:24,0,0,1,0,0,0,1,LOW
1970-01-01 00:12:27,0,1,0,0,0,0,1,LOW
1970-01-01 00:12:30,1,0,0,0,0,0,1,LOW
1970-01-01 00:12:31,0,0,0,1,0,0,1,LOW
1970-01-01 00:12:32,0,0,0,0,1,0,1,LOW
1970-01-01 00:12:34,0,0,1,0,0,0,1,LOW
1970-01-01 00:12:36,0,0,0,0,0,1,1,LOW
1970-01-01 00:12:37,0,1,0,0,0,0,1,LOW
1970-01-01 00:12:39,1,0,0,0,0,0,1,LOW
1970-01-01 00:12:43,0,0,0,1,0,0,1,LOW
1970-01-01 00:12:45,0,0,1,0,0,0,1,LOW
1970-01-01 00:12:47,0,1,0,0,1,1,3,MEDIUM
1970-01-01 00:12:48,1,0,0,0,0,0,1,LOW
1970-01-01 00:12:53,0,0,0,1,0,0,1,LOW
1970-01-01 00:12:57,0,0,0,0,0,1,1,LOW
1970-01-01 00:12:58,0,1,1,0,0,0,2,LOW
1970-01-01 00:13:00,1,0,0,0,1,0,2,LOW
1970-01-01 00:13:05,0,0,0,1,0,0,1,LOW
1970-01-01 00:13:07,0,1,1,0,0,1,3,MEDIUM
1970-01-01 00:13:12,1,0,0,0,0,0,1,LOW
1970-01-01 00:13:16,0,0,0,0,1,0,1,LOW
1970-01-01 00:13:17,0,1,1,0,0,1,3,MEDIUM
1970-01-01 00:13:21,1,0,0,0,0,0,1,LOW
1970-01-01 00:13:25,0,0,0,1,0,0,1,LOW
1970-01-01 00:13:26,0,0,0,0,1,0,1,LOW
1970-01-01 00:13:27,0,1,0,0,0,0,1,LOW
1970-01-01 00:13:28,0,0,1,0,0,0,1,LOW
1970-01-01 00:13:29,0,0,0,0,0,1,1,LOW
1970-01-01 00:13:30,1,0,0,0,0,0,1,LOW
1970-01-01 00:13:36,0,0,0,1,0,0,1,LOW
1970-01-01 00:13:38,0,1,1,0,0,0,2,LOW
1970-01-01 00:13:40,1,0,0,0,0,0,1,LOW
1970-01-01 00:13:44,0,0,0,0,1,0,1,LOW
1970-01-01 00:13:47,0,0,1,1,0,1,3,MEDIUM
1970-01-01 00:13:48,0,1,0,0,0,0,1,LOW
1970-01-01 00:13:50,1,0,0,0,0,0,1,LOW
1970-01-01 00:13:56,0,0,0,0,0,1,1,LOW
1970-01-01 00:13:57,0,0,1,0,0,0,1,LOW
1970-01-01 00:13:58,0,0,0,1,0,0,1,LOW
1970-01-01 00:13:59,0,0,0,0,1,0,1,LOW
1970-01-01 00:14:00,1,0,0,0,0,0,1,LOW
1970-01-01 00:14:01,0,1,0,0,0,0,1,LOW
1970-01-01 00:14:07,0,0,0,0,0,1,1,LOW
1970-01-01 00:14:08,0,0,0,1,0,0,1,LOW
1970-01-01 00:14:09,1,0,1,0,0,0,2,LOW
1970-01-01 00:14:11,0,1,0,0,0,0,1,LOW
1970-01-01 00:14:17,0,0,0,0,0,1,1,LOW
1970-01-01 00:14:19,1,0,1,0,0,0,2,LOW
1970-01-01 00:14:20,0,1,0,0,0,0,1,LOW
1970-01-01 00:14:22,0,0,0,0,1,0,1,LOW
1970-01-01 00:14:25,0,0,0,1,0,0,1,LOW
1970-01-01 00:14:27,0,0,0,0,0,1,1,LOW
1970-01-01 00:14:30,1,1,1,0,0,0,3,MEDIUM
1970-01-01 00:14:37,0,0,0,0,1,0,1,LOW
1970-01-01 00:14:39,0,1,0,0,0,0,1,LOW
